212598799	212598806,212691085,5750012579
212598806	212598799
212598955	212598957,212599033,212713497
212598957	212662354,212598961,212599037
212598961	212598963
212598963	212598966,596457233
212598966	212667895,212598968
212598968	212599048,212598978,212631465
212598978	212598981,212667898
212598981	5755193396,212658702
212598987	212599070,212685940
212599033	5754864982,212713502,212598955
212599037	212599033,212662380,212598957
212599040	212618915,212599037
212599044	212599040
212599048	212598968,212599044,212631472
212599067	212618274,212599048
212599070	212599067,212869650,212598987
212599182	212599185,212751457,212694326
212599185	212599182,212730655,212599187
212599187	212599185,212867407,212847834
212599396	212887786,212728623,212599399
212599399	212599402,212728627,212599396,212844041
212599402	212599405,212599399,212849518,212728630
212599405	212599402
212599414	212599417
212599417	212599420,212599414,212772881
212599420	3092206402,212599417,212836562
212599422	212599425,3092206402,7244946461,212726769
212599425	212599428,212599422,212721240
212599428	5779586291,212599425,212649491
212599436	212728701,5780078922,212599439,5779586291
212599439	212599442,212847333,212599436
212599442	212599445,212599439,212865879
212599445	212599449,212599442,5780092910,5780078918
212599449	212599455,212599445,5780078925,212766069
212599455	212599465,212599449,5780078915,212865882
212599465	212599482,212599455,212795393,212772910
212599482	212599465,212865888,212921912
212599677	212715922,212599680,212715919
212599680	212599683,212768435,212599677
212599683	212599687,212599680,212751377
212599687	212599691,212599683,212822116
212599691	212599695,212599687,212907364
212599695	212599691,212631869,212631871
212600519	212836668,212642966,4308105444
212600981	212691153,382623963
212601236	212608772
212601250	212669836,212677084
212601283	212615424,212740204
212601389	212691098
212601407	212601449,212655329,212937563
212601449	596455861
212601473	212726854,1143413877
212601500	212631643
212601502	212631641,212681106,212808916
212602178	212602231,559370532
212602231	212712268,212602245
212602245	212712268,212712275
212602261	5755193396
212602671	212602711,212715619
212602711	212602671,212715605
212603138	5647064409,212709853,212610531
212603204	212603207
212603207	212623668
212603580	212603582,212603586
212603582	212715875,212603586,212612619
212603586	212613416
212603608	212601500,924789575
212603854	212859870,4123836606
212604378	212610221,5701015016
212604386	212604378
212604410	457799217,212604432
212604432	212731092,212763134,212858130
212604523	212650467,3092242313,1937571844,212933212
212605092	212662481
212605574	212638165
212606996	1937571829,212607014
212607014	212753956,5650209494,212607032
212607032	212612618
212607173	212607180,212607190
212607180	212711088,212607190,212890726,212615264
212607190	212619523
212607199	212598961,596457233
212607356	212738865
212608772	212643864,1937571858,212612766
212608828	5745991829,212681118,7775034924
212609172	212692019
212609175	212609172,212609178,212638212
212609178	212638165,212609175,212812202,212857300
212609543	212610699,212679120,212610673
212609943	212609949,212618056
212609949	5802926108
212610221	212610224
212610224	212612763
212610230	212615839,212713364
212610247	212625706,212713364,212713366
212610531	212603138,212709852
212610658	822472510,1937572775,212801017
212610662	3849204653,1037218612
212610673	212609543,212863846
212610699	212609543
212611316	5648608718
212611365	212749148,5326532377
212611370	212712182,212614918,212611396,5744725761
212611396	212611399,212713364,212668842
212611399	212611429,212610230
212611429	212603608
212611779	212616167,5827966648
212611870	212677040,212610221,5706012661
212612030	5703334985,5701015018
212612618	5650123982,212612619
212612619	5650123982,212715866,212603582
212612667	212616070
212612704	5688907855,212814442,5688907865,212662512
212612714	212830934,5692019244
212612763	212612766,212612774
212612766	212702094,212608772,212643852
212612771	212702086,212612774
212612774	212614440
212612865	212794840
212613416	212613419,212613420
212613419	212613420,212753956,212841339
212613420	212607173
212613869	212857297,212857303
212614433	1937571851,212662519
212614440	1937571854,560216475
212614775	212692181,212669815,212728664
212614778	3092206370,212650716
212614918	5740308855,924798488,1141792396
212615264	212803208,212607180,212612667
212615424	212669847,212669836
212615664	212615667,822473224,212631644,212631643
212615667	212617555
212615839	212610247,212610230,212668853
212616070	212606996,212607032
212616121	5827966648
212616167	212737028
212616681	212971974,212620003,212776857,10032641679
212617538	5654527629,387546508
212617555	212617575,5674006678
212617575	212610230
212618056	212609943,212889396
212618066	7768165296,212627979,7775034924
212618274	596457246
212618660	212836624
212618665	212836618
212618915	5754864982
212619377	212667276,5647064409,212681125
212619523	212619563,5659613295
212619563	212714285
212620003	212864074,3415688729,212616681
212621622	1143414002,212726841,5766681350
