213409924	213409935,213511992,213464091
213409935	213409924
213409942	213409954
213409954	213409942,213463244
213410388	213454690,819447164,213460172
213410402	213451340,213410421,213435964,213502458
213410421	213410439,213410402,213503260
213410439	213410448,213410421,213410468
213410448	213410468,213410439,213562626
213410468	213410448,213410439
213410869	213410917,213433310,213448264
213410917	213410959,213410869,213467197,213448229
213410959	213410917,213481967,213452409
213411373	213411399,213528431,213488101
213411399	213411399,213411373
213413158	213420677
213413292	213428100
213413744	213413745,213464578,213470747
213413745	213413744
213417743	213426727,213417779,213540503
213417779	213417743
213418913	213455047,5092044791,213516833
213419628	1300370306
213419956	213459863,213460113
213420677	213413158,213467710
213421003	213518875,5482872957,213482185
213425147	213489030,213425165
213425165	213425147,213489027
213425169	213425171,213425174,213463304
213425171	213425169
213425174	213425176,213425169,213463427
213425176	213425174
213425884	213425892,213468072,213443650
213425892	213425884
213426727	213417743,213426745,213525619
213426745	213426727
213427118	213464193,213432136,1236778545
213427654	213427669
213427669	213427654,213427683
213427674	213427683
213427683	213427674,213427669,213468213
213428100	213428105
213428105	8805442383,213519467,213428100
213428252	213428257,213482840,213482829
213428257	213428252,213484982,213482829
213431753	213468202,213431774
213431774	213431753,213468213
213432136	213432154,213427118,1319459475
213432154	213432136
213432224	213432248,213454748,213454738
213432248	213432249,213432224,11229742063
213432249	213432248
213432562	213450218,213443724
213433310	213433351,213467183,213492840,213448302,213410869
213433351	213433382,213433310,837158246,213482049
213433382	213433435,213433351,213441419,213441399
213433435	213441474,213433382,213448409
213433803	213433805,213433803,213464808
213433805	213433803,213496564,213535517
213433976	213434016
213434008	213447572,213434016,213460113
213434016	213433976,213434176,213434008
213434176	213434016
213435839	213508098,5423555291,213535522
213435850	213435851,213469826,5423555291
213435851	213435850,5423379465
213435893	213523248,213437435
213435964	213435972,213502458,213410402
213435972	213435964
213436277	213436285
213436285	213502604,213436277,213448477
213436698	1319459475,213436703,213533315
213436703	213436718,213436698,213518875
213436718	213513968,213455047,213436703
213437402	213437404,12310597302,213512909,213464091
213437404	213437402,213437430
213437430	213437435,213437404,9471400882
213437435	213523248,213435893,213437430,213507991
213437593	213437654,213464020,213502550
213437654	213437593
213437797	213483688,1045328996,213437814
213437814	213437814,213437797
213439215	213439230
213439230	213552201,213439215,213460274
213439372	213439418,213467250,213473823
