39076461	274283981,42854803
39076490	277672046,277672005
39076504	462124701,462122450
42421728	42435337,42421731,42432736
42421731	42437916,42432737,42421728,42421737
42421737	42421731,42437917,42421741
42421741	42432756,1061531654,42421737
42421745	1061531654,42421749,11803957852
42421749	42421751,42421745,42431118
42421751	42421749,42432764
42421769	42443347
42421772	42421769,42442469
42421775	11655721345,42428653
42421776	42421775,42431024,42431019
42421778	42421776,42422592,42441587
42421783	42443522,42427782,42429174,8904913030
42421785	42421786,42443520
42421786	42421791
42421791	4814440062,42448930
42421800	42435308,42424851
42421803	42437300,42421800
42421806	42421803,42442475
42421809	11655721355,42428663
42421810	42421809,42431030,42431034
42421820	42421810,42437312,42441569
42421828	42430942,42430938
42421852	561035342,42442584,42438928
42421857	42421865,561035342,1506591534
42421865	42421857,42443181,1332860731
42421877	42421889,42437949
42421889	42432191,42430241
42421941	42421960,42453902
42421946	42421941
42421951	42444223,42421965,42421946
42421960	42427956,42431898,42421965,42421941
42421965	4145794861
42421969	5706568625
42421972	1061531777,42428570
42421974	42421972,1241742627
42421982	7050687060,2974462027
42421985	42421982,3533937800,42430981,2061592973
42421993	42421996,42431447,7106818627
42421996	42422000,42438043
42422000	1061531768,42437052
42422006	42422016,42428682
42422016	42422018,42431044,42431057
42422018	42438052,42437058
42422026	42437401,889298452,246858433
42422028	42453395,246858433
42422038	42438155,42422042
42422042	42422038,42422050,42428374
42422050	42454795,42422053
42422053	6262915548,42448583
42422086	42422110,3931524260
42422110	42422168
42422168	371225132
42422258	42430589
42422270	278608420,42451465
42422283	42433229,278609934,4158673495,5378284711
42422399	42458435
42422449	371225132
42422509	42457925
42422592	7912855687,42428072,42421778,42431019
42422899	42454010,42449689
42423020	42454495,42434965,11942111840
42423039	42450820
42423051	42454391,370894980
42423070	7912855687,42422399
42423101	42446331,42436806,42442723
42423116	595481001,42442728
42423170	42423203,42423189
42423189	42434134,42426135
42423203	42422168,371239962,42443116
42423295	9906966855,42437786
42423296	370888100
42423307	370892861
42423456	4602414021
42423549	42451712,42423039
42423564	42423565,2711029280,42432861
42423565	42456041,3785586748
42423579	1775201764,1775176474
42423674	4347550074,42430394,42440025
42423752	42456049,6744466013
42423774	42426865
42423836	593920879,42446506
42423885	427804196,42446504
42424025	371209940,4779073677
42424032	595245843,42431004,42432572
42424089	371037237,371037281,42442961
42424117	42448278,42424133
42424133	42427009
42424142	42424145,4562863353
42424145	42438809
42424225	42438859,42435301,42427915
42424235	589927993,589927996
42424408	42436340,42436064
42424439	42431293,42443381,42435328,42425232
42424531	42425417,589927878
42424551	42424531
42424576	5333189428,589927879
42424610	42436308,4137021568,42434871
42424641	42423295
42424672	42427965,3785575833,42448329
42424679	42425242,42424698
42424698	587934347
42424701	42429541,42424703
42424703	764744759
42424706	3570003194,254484327
42424757	589928033,42447209
42424758	373755525,42424757
42424789	42434434,42444991
42424851	42443349,7106818626,42421800
42424864	42423456
42424937	12522167755,42424698
42425088	7616688918
42425100	42429819
42425127	42438961
42425232	42443388,42424439,42425570
42425242	42424701
42425348	595314114,595314125,2029349871
42425417	42426971
42425425	42425484,589927965
42425484	373760396
42425570	42425232,42435331
42425681	42437043,6266152785
42425747	6515269079
42425758	373772209
42425780	42431666,374470740
42425955	7132405537,42427300,7132405548
42425959	374451674
42426060	4602414021
42426135	42425747,3786728788
42426374	3099327964,595703226,42446723
42426418	3785702998,1241820956
42426665	371337269,42426810,4515465264
42426747	42433834,279151954,42444355
42426799	42422449,371225088
42426805	596800103,42456110
42426810	5333189422
42426816	1701844605,42453999
42426851	42450814
42426865	7137281959,370898427
42426875	589100228
42426957	3702296508,3786741452
42426968	42424235
42426971	42426968,42425484
42427009	371216381,42433490
42427016	60918583,42442734,42428080
42427030	42428005,42450634
42427036	42427030
42427070	42447412
42427086	561035374,42428962,42427112
42427112	42428964,42427086,42427115
42427115	42441695,42427112,42427122
42427122	42428966,42427115,42427126
42427126	42441704,42427122,42427128
42427128	42427126,42427133,42428970
42427133	2499827795,42427128,42428973,42427136
42427136	42427133,42427139,42428978
42427139	42427136,42427143
42427143	42427139,42427146
42427146	42435002,42427150,42427143
42427150	42428989,42427146,42427152
42427152	42429479,42427150,42427156
42427156	42428998,42427152,42427159
42427159	42427164,42427156
42427164	42429006,42427159,42427168
42427168	60925950,42458936,42427164
42427185	60926076,42427190,42428094
42427190	42430951,42427196,42427185,42444097
42427196	42427206,42427190
42427206	42454089,42427212,42427196
42427212	1763608189,42427206,42427216
42427216	42436297,9338511505,42428144,42427212
42427236	42427242
42427242	42459820,42457311
42427249	42427251,42444424
42427251	42427254,42454798,42440350
42427254	42427256,42452708
42427256	42440356,42444242
42427278	4561384853,9121386338
42427300	42445466,42425955,42427305
42427305	42445474,42427307
42427307	42427311,42445481
42427311	42427316,42447255
42427316	42427319,5706569898,42440810
42427319	42427322
42427322	42427324,42439580
42427324	42439207,42427327
42427327	42430041,42432165
42427335	11038072465,42427337,42440408
42427337	42427340
42427340	42427345,42435538
42427345	42429806,7500756892
42427346	42437067,42427352
42427352	7552138519,42427358
42427358	1919595922,42449874
42427369	42428183,42454378
42427371	42427369,42430265
42427374	42427371,42439834
42427381	42427374,5849918502
